iter,score_cpxR,score_soxR
0,-4566.0,-20617.0
1,-5255.0,-16146.0
2,-6214.0,-17284.0
3,-3987.0,-15208.0
4,-3423.0,-17876.0
5,-2607.0,-15540.0
6,-1819.0,-16255.0
7,-2886.0,-14391.0
8,-4996.0,-19599.0
9,-6162.0,-17596.0
10,-4238.0,-15835.0
11,-5048.0,-23401.0
12,-5397.0,-16176.0
13,-4412.0,-17518.0
14,-4511.0,-18121.0
15,-4904.0,-14362.0
16,-3904.0,-17888.0
17,-3552.0,-16536.0
18,-5579.0,-18572.0
19,-4687.0,-17869.0
20,-4474.0,-18043.0
21,-6095.0,-15416.0
22,-3893.0,-19175.0
23,-3637.0,-15573.0
24,-4849.0,-17419.0
25,-4870.0,-19136.0
26,-7006.0,-17565.0
27,-4659.0,-19615.0
28,-1132.0,-22655.0
29,-5043.0,-15668.0
30,-2343.0,-22046.0
31,-5381.0,-9277.0
32,-4312.0,-16856.0
33,-5678.0,-16540.0
34,-7851.0,-17814.0
35,-4381.0,-21651.0
36,-2858.0,-17433.0
37,-4456.0,-16251.0
38,-5878.0,-18424.0
39,-5826.0,-20544.0
40,-2924.0,-16741.0
41,-3943.0,-14341.0
42,-4350.0,-15539.0
43,-2787.0,-18802.0
44,-2916.0,-17021.0
45,-3960.0,-16553.0
46,-3674.0,-15814.0
47,-5946.0,-21517.0
48,-3791.0,-17865.0
49,-2552.0,-21714.0
50,-4789.0,-17472.0
51,-3912.0,-14558.0
52,-5300.0,-17397.0
53,-2859.0,-18904.0
54,-4477.0,-16529.0
55,-5496.0,-13389.0
56,-6696.0,-19137.0
57,-3839.0,-12096.0
58,-3789.0,-15472.0
59,-1836.0,-15869.0
60,-4646.0,-17252.0
61,-4112.0,-18610.0
62,-4968.0,-15274.0
63,-2899.0,-18134.0
64,-5700.0,-16100.0
65,-4884.0,-20168.0
66,-4058.0,-19781.0
67,-4714.0,-13413.0
68,-5852.0,-15330.0
69,-5850.0,-13859.0
70,-5794.0,-18636.0
71,-4288.0,-21509.0
72,-3754.0,-19931.0
73,-5762.0,-14474.0
74,-6441.0,-16607.0
75,-3499.0,-22416.0
76,-5036.0,-18085.0
77,-3219.0,-21224.0
78,-4015.0,-18602.0
79,-3581.0,-18828.0
80,-4199.0,-12144.0
81,-2910.0,-14639.0
82,-3612.0,-14187.0
83,-3784.0,-19996.0
84,-2158.0,-14524.0
85,-3237.0,-20531.0
86,-5536.0,-21286.0
87,-5553.0,-20384.0
88,-6795.0,-18597.0
89,-2304.0,-17866.0
90,-5608.0,-13306.0
91,-5021.0,-18955.0
92,-4188.0,-16911.0
93,-5594.0,-20666.0
94,-3741.0,-16813.0
95,-6229.0,-18671.0
96,-3665.0,-15545.0
97,-5926.0,-18573.0
98,-3838.0,-13265.0
99,-4373.0,-17796.0
100,-3468.0,-15243.0
101,-4516.0,-16837.0
102,-5407.0,-12448.0
