chain,iter,score_cpxR,score_soxR
0,0,-4023.0,-16613.0
0,1,-4168.0,-1443.0
0,2,-3457.0,-2509.0
0,3,-3665.0,-2052.0
0,4,-1958.0,1554.0
0,5,-737.0,-1583.0
0,6,-734.0,-607.0
0,7,-491.0,-83.0
0,8,-394.0,-283.0
0,9,-486.0,-234.0
0,10,-420.0,-293.0
0,11,-369.0,-93.0
0,12,-418.0,-609.0
0,13,-491.0,-83.0
0,14,-190.0,-58.0
0,15,-138.0,-176.0
0,16,-40.0,-127.0
0,17,-37.0,-58.0
0,18,-37.0,-68.0
0,19,-42.0,-117.0
0,20,-186.0,-19.0
0,21,-67.0,-394.0
0,22,-143.0,-137.0
0,23,-172.0,-68.0
0,24,-121.0,-78.0
0,25,-175.0,-293.0
0,26,-189.0,-224.0
0,27,-233.0,-327.0
0,28,-308.0,-78.0
0,29,-215.0,-394.0
0,30,-303.0,-278.0
0,31,-332.0,-9.0
0,32,-261.0,-525.0
0,33,-281.0,-9.0
0,34,-267.0,-317.0
0,35,-318.0,-127.0
0,36,160.0,955.0
0,37,194.0,53.0
0,38,194.0,171.0
0,39,345.0,127.0
0,40,234.0,-219.0
0,41,335.0,970.0
0,42,131.0,629.0
0,43,1426.0,649.0
0,44,1512.0,1705.0
0,45,1568.0,1823.0
0,46,1390.0,1813.0
0,47,1512.0,1764.0
0,48,1334.0,1813.0
0,49,1568.0,1764.0
0,50,1091.0,847.0
0,51,1410.0,2021.0
0,52,1512.0,1705.0
0,53,1512.0,1764.0
0,54,1355.0,1823.0
0,55,1568.0,1705.0
0,56,1568.0,1764.0
0,57,948.0,857.0
0,58,1176.0,2070.0
0,59,1410.0,979.0
0,60,1355.0,1705.0
0,61,1568.0,1764.0
0,62,1568.0,1705.0
0,63,1568.0,1764.0
0,64,1568.0,1764.0
0,65,1355.0,1764.0
0,66,1512.0,1764.0
0,67,1354.0,2139.0
0,68,1210.0,1168.0
0,69,1190.0,1168.0
0,70,1568.0,1764.0
0,71,1568.0,1764.0
0,72,1354.0,2080.0
0,73,1456.0,965.0
0,74,1512.0,1764.0
0,75,1568.0,1764.0
0,76,1652.0,1030.0
0,77,896.0,906.0
0,78,1176.0,2129.0
0,79,1019.0,1028.0
0,80,1019.0,847.0
0,81,1354.0,916.0
0,82,1388.0,1296.0
0,83,1355.0,1823.0
0,84,1176.0,2070.0
0,85,1232.0,969.0
0,86,1456.0,906.0
0,87,1390.0,1754.0
0,88,1512.0,1823.0
0,89,876.0,521.0
0,90,1410.0,2139.0
0,91,1033.0,1227.0
0,92,1333.0,980.0
0,93,1568.0,1705.0
0,94,1334.0,1754.0
0,95,1512.0,1705.0
0,96,1355.0,1823.0
0,97,1410.0,2080.0
0,98,1512.0,1823.0
0,99,1568.0,1705.0
0,100,1334.0,1754.0
0,101,1355.0,1823.0
0,102,1390.0,1754.0
0,103,1177.0,1695.0
0,104,1512.0,1823.0
0,105,1568.0,1764.0
0,106,1390.0,1813.0
0,107,1568.0,1823.0
0,108,1568.0,1764.0
0,109,1410.0,2080.0
0,110,1568.0,1705.0
0,111,1568.0,1823.0
0,112,1568.0,1764.0
0,113,1568.0,1764.0
0,114,901.0,906.0
0,115,724.0,847.0
0,116,1176.0,2070.0
0,117,1246.0,1168.0
0,118,1190.0,1227.0
0,119,1512.0,1764.0
0,120,1568.0,1823.0
0,121,1568.0,1764.0
0,122,1568.0,1705.0
0,123,1568.0,1705.0
0,124,1410.0,2080.0
0,125,1424.0,1237.0
0,126,1512.0,1764.0
