chain,iter,beta,score_cpxR,score_soxR
0,0,0.01,-5785.0,-14756.0
0,10,0.0145,-4392.0,-13308.0
0,20,0.019000000000000003,-6225.0,-15225.0
0,30,0.0235,-2094.0,-14254.0
0,40,0.028000000000000004,-3999.0,-12707.0
0,50,0.0325,-5633.0,-13163.0
0,60,0.037000000000000005,-5083.0,-18482.0
0,70,0.0415,-2404.0,-15464.0
0,80,0.046000000000000006,-2961.0,-15673.0
0,90,0.05050000000000001,-2907.0,-13940.0
0,100,0.05500000000000001,-4357.0,-8570.0
0,110,0.05950000000000001,-4643.0,-15323.0
0,120,0.064,-2901.0,-18746.0
0,130,0.0685,-4411.0,-15540.0
0,140,0.073,-7287.0,-13416.0
0,150,0.0775,-4708.0,-12759.0
0,160,0.082,-2977.0,-13290.0
0,170,0.08650000000000001,-4173.0,-12774.0
0,180,0.09100000000000001,-6318.0,-12217.0
0,190,0.0955,-4831.0,-14302.0
0,200,0.1,-5222.0,-12212.0
0,210,0.16,-5756.0,-11321.0
0,220,0.22,-5284.0,-16398.0
0,230,0.28,-3951.0,-17903.0
0,240,0.33999999999999997,-3885.0,-16358.0
0,250,0.4,-4238.0,-11444.0
0,260,0.4600000000000001,-1291.0,-14538.0
0,270,0.52,-3306.0,-13897.0
0,280,0.58,-5548.0,-12855.0
0,290,0.64,-4354.0,-13055.0
0,300,0.7,-4532.0,-13125.0
0,310,0.7599999999999999,-4168.0,-12166.0
0,320,0.8200000000000001,-4285.0,-15194.0
0,330,0.88,-3786.0,-15470.0
0,340,0.9400000000000001,-3435.0,-13250.0
0,350,1.0,-2771.0,-11818.0
0,360,1.0,-3407.0,-9645.0
0,370,1.0,-2649.0,-14497.0
0,380,1.0,-3773.0,-16595.0
0,390,1.0,-3987.0,-12980.0
0,400,1.0,-5003.0,-13271.0
1,410,1.0,-5659.0,-14356.0
1,420,1.0,-4644.0,-12593.0
1,430,1.0,-3618.0,-11727.0
1,440,1.0,-3008.0,-8063.0
1,450,1.0,-4695.0,-10228.0
1,460,1.0,-4209.0,-10553.0
1,470,1.0,-5072.0,-11727.0
1,480,1.0,-5323.0,-10992.0
1,490,1.0,-4496.0,-10855.0
1,500,1.0,-2368.0,-10878.0
1,510,1.0,-2636.0,-11274.0
1,520,1.0,-3125.0,-13707.0
1,530,1.0,-4907.0,-10127.0
1,540,1.0,-5402.0,-10603.0
1,550,1.0,-4466.0,-12966.0
1,560,1.0,-5229.0,-10691.0
1,570,1.0,-3288.0,-15465.0
1,580,1.0,-2095.0,-15421.0
1,590,1.0,-4690.0,-14281.0
1,600,1.0,-5626.0,-11672.0
1,610,1.0,-5438.0,-13818.0
1,620,1.0,-4867.0,-12919.0
1,630,1.0,-3359.0,-14134.0
1,640,1.0,-4701.0,-11935.0
1,650,1.0,-4959.0,-11127.0
1,660,1.0,-5718.0,-11492.0
1,670,1.0,-4018.0,-12994.0
1,680,1.0,-5103.0,-14878.0
1,690,1.0,-4513.0,-13596.0
1,700,1.0,-4852.0,-13208.0
1,710,1.0,-6888.0,-13391.0
1,720,1.0,-5299.0,-11776.0
1,730,1.0,-5057.0,-9688.0
1,740,1.0,-4977.0,-12198.0
1,750,1.0,-3569.0,-10123.0
1,760,1.0,-2936.0,-5023.0
1,770,1.0,-3595.0,-8579.0
1,780,1.0,-2275.0,-9758.0
1,790,1.0,-3623.0,-10859.0
1,800,1.0,-4453.0,-15185.0
1,810,1.0,-4453.0,-15871.0
2,820,1.0,-5939.0,-13357.0
2,830,1.0,-4325.0,-15553.0
2,840,1.0,-3073.0,-13171.0
2,850,1.0,-2516.0,-14443.0
2,860,1.0,-4043.0,-14394.0
2,870,1.0,-4713.0,-15835.0
2,880,1.0,-4026.0,-14381.0
2,890,1.0,-4843.0,-13206.0
2,900,1.0,-3864.0,-10892.0
2,910,1.0,-4363.0,-8155.0
2,920,1.0,-4111.0,-11323.0
2,930,1.0,-2881.0,-14350.0
2,940,1.0,-4905.0,-12044.0
2,950,1.0,-5394.0,-9928.0
2,960,1.0,-4372.0,-12509.0
2,970,1.0,-4105.0,-11958.0
2,980,1.0,-2620.0,-8585.0
2,990,1.0,-4711.0,-14411.0
2,1000,1.0,-4716.0,-15570.0
2,1010,1.0,-3651.0,-15555.0
2,1020,1.0,-5024.0,-9577.0
2,1030,1.0,-5558.0,-15009.0
2,1040,1.0,-5275.0,-13333.0
2,1050,1.0,-5275.0,-12110.0
2,1060,1.0,-3228.0,-15794.0
2,1070,1.0,-3791.0,-13531.0
2,1080,1.0,-4514.0,-13193.0
2,1090,1.0,-2339.0,-14955.0
2,1100,1.0,-4816.0,-15342.0
2,1110,1.0,-4432.0,-16408.0
2,1120,1.0,-3337.0,-15705.0
2,1130,1.0,-4411.0,-15085.0
2,1140,1.0,-4250.0,-15886.0
2,1150,1.0,-4417.0,-13197.0
2,1160,1.0,-4706.0,-15338.0
2,1170,1.0,-1900.0,-14198.0
2,1180,1.0,-5676.0,-13745.0
2,1190,1.0,-4602.0,-11306.0
2,1200,1.0,-5057.0,-9130.0
2,1210,1.0,-5132.0,-8020.0
2,1220,1.0,-6211.0,-11336.0
3,1230,1.0,-6183.0,-15515.0
3,1240,1.0,-5167.0,-15639.0
3,1250,1.0,-4715.0,-15372.0
3,1260,1.0,-3987.0,-15521.0
3,1270,1.0,-3694.0,-17084.0
3,1280,1.0,-5383.0,-13717.0
3,1290,1.0,-4557.0,-15696.0
3,1300,1.0,-6016.0,-14206.0
3,1310,1.0,-6159.0,-16495.0
3,1320,1.0,-3830.0,-13026.0
3,1330,1.0,-2697.0,-15413.0
3,1340,1.0,-2256.0,-12710.0
3,1350,1.0,-3459.0,-13850.0
3,1360,1.0,-3717.0,-13975.0
3,1370,1.0,-6222.0,-14200.0
3,1380,1.0,-3064.0,-17070.0
3,1390,1.0,-1558.0,-14174.0
3,1400,1.0,-1269.0,-12825.0
3,1410,1.0,-5678.0,-15235.0
3,1420,1.0,-5833.0,-12044.0
3,1430,1.0,-4659.0,-13218.0
3,1440,1.0,-3576.0,-14407.0
3,1450,1.0,-5922.0,-15982.0
3,1460,1.0,-4104.0,-15405.0
3,1470,1.0,-4452.0,-13325.0
3,1480,1.0,-2192.0,-12091.0
3,1490,1.0,-1957.0,-11940.0
3,1500,1.0,-5363.0,-14016.0
3,1510,1.0,-4331.0,-11984.0
