iter,score_soxR,score_cpxR
0,-13104.0,-3108.0
1,-15316.0,-7390.0
2,-17828.0,-5438.0
3,-13118.0,-4171.0
4,-15649.0,-3796.0
5,-13024.0,-5195.0
6,-15560.0,-4573.0
7,-12236.0,-5476.0
8,-14065.0,-4375.0
9,-12260.0,-5054.0
10,-12825.0,-6852.0
11,-10367.0,-4655.0
12,-15813.0,-3344.0
13,-13854.0,-6229.0
14,-13391.0,-2359.0
15,-15163.0,-4839.0
16,-11538.0,-3667.0
17,-13391.0,-3397.0
18,-16970.0,-4533.0
19,-10727.0,-3512.0
20,-16259.0,-4698.0
21,-14258.0,-5828.0
22,-13914.0,-2921.0
23,-12955.0,-3081.0
24,-14171.0,-4498.0
25,-14207.0,-5890.0
26,-11683.0,-5468.0
27,-16156.0,-4444.0
28,-13023.0,-6029.0
29,-12398.0,-5615.0
30,-13048.0,-2876.0
31,-10151.0,-3698.0
32,-13889.0,-5196.0
33,-15333.0,-3445.0
34,-11599.0,-6446.0
35,-14547.0,-4436.0
36,-11796.0,-2885.0
37,-14117.0,-4393.0
38,-16028.0,-6297.0
39,-17092.0,-2735.0
40,-15735.0,-3818.0
41,-15599.0,-4468.0
42,-15566.0,-4419.0
43,-14381.0,-4014.0
44,-16320.0,-4261.0
45,-11825.0,-2139.0
46,-14538.0,-3910.0
47,-15355.0,-3914.0
48,-15671.0,-6396.0
49,-13962.0,-5387.0
50,-13235.0,-6109.0
51,-17771.0,-4592.0
52,-14424.0,-4917.0
53,-15312.0,-2180.0
54,-14025.0,-6092.0
55,-15263.0,-4400.0
56,-12232.0,-1246.0
57,-17854.0,-6413.0
58,-16529.0,-4748.0
59,-14309.0,-3079.0
60,-14640.0,-3223.0
61,-15351.0,-5884.0
62,-10123.0,-3372.0
63,-10980.0,-3256.0
64,-11301.0,-4487.0
65,-12600.0,-4698.0
66,-15521.0,-5534.0
67,-8096.0,-5288.0
68,-14829.0,-5483.0
69,-18030.0,-4994.0
70,-15136.0,-4386.0
71,-13631.0,-5142.0
72,-12620.0,-2407.0
73,-14133.0,-5553.0
74,-12096.0,-5455.0
75,-15374.0,-5151.0
76,-15688.0,-3380.0
77,-16430.0,-2751.0
78,-15232.0,-5514.0
79,-15399.0,-2910.0
80,-13656.0,-6798.0
81,-13440.0,-5763.0
82,-16383.0,-4077.0
83,-15389.0,-3269.0
84,-14391.0,-5551.0
85,-10394.0,-3000.0
86,-11190.0,-4056.0
87,-13085.0,-4916.0
88,-16553.0,-1545.0
89,-19502.0,-3961.0
90,-9466.0,-3473.0
91,-15286.0,-5371.0
92,-13879.0,-6090.0
93,-14638.0,-3888.0
94,-14721.0,-5842.0
95,-10941.0,-3903.0
96,-9737.0,-3098.0
97,-19185.0,-4370.0
98,-14366.0,-4112.0
99,-17158.0,-4307.0
100,-13874.0,-5326.0
101,-13572.0,-4189.0
102,-16052.0,-4739.0
103,-11848.0,-3984.0
104,-14183.0,-4342.0
105,-15237.0,-4166.0
106,-16663.0,-3982.0
107,-17813.0,-4033.0
108,-14532.0,-2999.0
109,-14887.0,-6377.0
110,-14580.0,-4297.0
111,-12646.0,-4457.0
112,-12115.0,-4926.0
113,-15271.0,-2889.0
114,-15317.0,-4376.0
115,-14448.0,-1970.0
116,-15744.0,-4733.0
117,-13315.0,-4628.0
118,-14546.0,-2962.0
119,-15406.0,-3533.0
120,-10593.0,-4863.0
121,-15696.0,-5644.0
122,-15457.0,-3743.0
123,-14975.0,-6304.0
124,-13588.0,-2631.0
125,-11370.0,-4606.0
126,-15913.0,-3497.0
127,-13557.0,-3409.0
128,-14845.0,-3983.0
129,-14990.0,-4073.0
130,-15485.0,-3559.0
131,-14097.0,-2602.0
132,-16936.0,-3193.0
133,-14109.0,-4305.0
134,-14810.0,-5809.0
135,-14885.0,-5352.0
136,-14242.0,-4827.0
137,-14938.0,-4359.0
138,-12762.0,-3158.0
139,-16364.0,-5953.0
140,-14288.0,-4400.0
141,-15180.0,-4585.0
142,-15363.0,-5504.0
143,-12325.0,-5704.0
144,-14283.0,-5197.0
145,-17656.0,-4389.0
146,-13276.0,-6662.0
147,-17665.0,-5005.0
148,-15323.0,-3778.0
149,-13225.0,-1960.0
150,-14745.0,-3613.0
151,-17790.0,-4744.0
152,-12596.0,-4373.0
153,-11224.0,-5019.0
154,-11921.0,-180.0
155,-15859.0,-2560.0
156,-13388.0,-2618.0
157,-15316.0,-5447.0
158,-16149.0,-3895.0
159,-18845.0,-4906.0
160,-15580.0,-5288.0
161,-14276.0,-3775.0
162,-12761.0,-6565.0
163,-11105.0,-3726.0
