chain,iter,beta,score_soxR,score_cpxR
0,0,0.01,-12390.0,-3641.0
0,10,0.01009,-15468.0,-6169.0
0,20,0.01018,-14493.0,-4177.0
0,30,0.01027,-16393.0,-3836.0
0,40,0.01036,-12788.0,-2443.0
0,50,0.010450000000000001,-10296.0,-3875.0
0,60,0.01054,-11090.0,-4609.0
0,70,0.01063,-14125.0,-6219.0
0,80,0.01072,-16754.0,-5321.0
0,90,0.01081,-14292.0,-4982.0
0,100,0.0109,-17698.0,-3423.0
0,110,0.01099,-12033.0,-1960.0
0,120,0.01108,-14795.0,-4268.0
0,130,0.01117,-12987.0,-3995.0
0,140,0.011260000000000001,-14123.0,-2955.0
0,150,0.01135,-13173.0,-2614.0
0,160,0.01144,-14055.0,-3492.0
0,170,0.01153,-16178.0,-6251.0
0,180,0.01162,-15224.0,-3051.0
0,190,0.01171,-18923.0,-6683.0
0,200,0.0118,-13982.0,-3348.0
0,210,0.011890000000000001,-16330.0,-3420.0
0,220,0.011980000000000001,-15347.0,-2859.0
0,230,0.01207,-13314.0,-2216.0
0,240,0.01216,-11367.0,-5083.0
0,250,0.01225,-13942.0,-5939.0
0,260,0.01234,-15438.0,-4738.0
0,270,0.01243,-10819.0,-3885.0
0,280,0.01252,-15249.0,-4966.0
0,290,0.01261,-12959.0,-4423.0
0,300,0.0127,-15415.0,-4202.0
0,310,0.012790000000000001,-14215.0,-5018.0
0,320,0.01288,-14841.0,-6208.0
0,330,0.01297,-17377.0,-3785.0
0,340,0.01306,-17387.0,-2989.0
0,350,0.01315,-16621.0,-5093.0
0,360,0.01324,-16690.0,-4505.0
0,370,0.01333,-13475.0,-5685.0
0,380,0.013420000000000001,-13290.0,-4799.0
0,390,0.013510000000000001,-13285.0,-2163.0
0,400,0.013600000000000001,-16579.0,-6221.0
0,410,0.01369,-12661.0,-5562.0
0,420,0.01378,-10168.0,-4434.0
0,430,0.01387,-14159.0,-3443.0
0,440,0.01396,-15115.0,-5141.0
0,450,0.01405,-14277.0,-5440.0
0,460,0.01414,-10810.0,-4327.0
0,470,0.01423,-12832.0,-3338.0
0,480,0.014320000000000001,-12281.0,-4548.0
0,490,0.014410000000000001,-11837.0,-6108.0
0,500,0.0145,-15043.0,-4268.0
0,510,0.01459,-16472.0,-4012.0
0,520,0.01468,-13134.0,-5675.0
0,530,0.014770000000000002,-16570.0,-3864.0
0,540,0.014860000000000002,-15703.0,-4386.0
0,550,0.014950000000000001,-15531.0,-4398.0
0,560,0.015040000000000001,-16091.0,-4570.0
0,570,0.015130000000000001,-13636.0,-3245.0
0,580,0.015220000000000001,-13175.0,-2870.0
0,590,0.01531,-11786.0,-3843.0
0,600,0.0154,-14573.0,-984.0
0,610,0.01549,-14780.0,-4883.0
0,620,0.01558,-10869.0,-3252.0
0,630,0.01567,-14519.0,-5111.0
0,640,0.01576,-15516.0,-4390.0
0,650,0.015850000000000003,-19771.0,-3090.0
0,660,0.015940000000000003,-15257.0,-3776.0
0,670,0.016030000000000003,-14099.0,-2309.0
0,680,0.016120000000000002,-11881.0,-5943.0
0,690,0.016210000000000002,-12052.0,-2730.0
0,700,0.016300000000000002,-14904.0,-5279.0
0,710,0.016390000000000002,-13573.0,-4147.0
0,720,0.01648,-13242.0,-3736.0
0,730,0.01657,-13046.0,1123.0
0,740,0.01666,-15920.0,-2692.0
0,750,0.01675,-17830.0,-4749.0
0,760,0.01684,-14292.0,-3690.0
0,770,0.01693,-17448.0,-5157.0
0,780,0.01702,-19121.0,-5833.0
0,790,0.01711,-15887.0,-4245.0
0,800,0.0172,-13389.0,-5480.0
0,810,0.01729,-13207.0,-5542.0
0,820,0.01738,-16051.0,-2302.0
0,830,0.01747,-13208.0,-1957.0
0,840,0.017560000000000003,-14547.0,-4141.0
0,850,0.017650000000000002,-14698.0,-5447.0
0,860,0.01774,-10615.0,-5192.0
0,870,0.01783,-10492.0,-3355.0
0,880,0.01792,-15636.0,-2842.0
0,890,0.018009999999999998,-11242.0,-3468.0
0,900,0.0181,-14173.0,-3936.0
0,910,0.01819,-14482.0,-3359.0
0,920,0.01828,-9538.0,-3389.0
0,930,0.01837,-16408.0,-5088.0
0,940,0.01846,-12310.0,-2696.0
0,950,0.01855,-15500.0,-4299.0
0,960,0.018640000000000004,-14009.0,-4221.0
0,970,0.018730000000000004,-16342.0,-1956.0
0,980,0.018820000000000003,-17615.0,-6636.0
0,990,0.018910000000000003,-13960.0,-3641.0
0,1000,0.019000000000000003,-14258.0,-5919.0
0,1010,0.019090000000000003,-14553.0,-4540.0
0,1020,0.019180000000000003,-17037.0,-4785.0
0,1030,0.019270000000000002,-15287.0,-2715.0
0,1040,0.019360000000000002,-14188.0,-4994.0
0,1050,0.019450000000000002,-10845.0,-4192.0
0,1060,0.019540000000000002,-16472.0,-639.0
0,1070,0.01963,-16636.0,-5907.0
0,1080,0.01972,-16639.0,-4401.0
0,1090,0.01981,-15657.0,-3652.0
0,1100,0.0199,-13524.0,-5946.0
0,1110,0.01999,-14747.0,-2927.0
0,1120,0.02008,-16852.0,-5492.0
0,1130,0.02017,-15044.0,-3130.0
0,1140,0.02026,-16266.0,-4662.0
0,1150,0.02035,-13766.0,-3679.0
0,1160,0.02044,-12680.0,-2625.0
0,1170,0.02053,-13107.0,-5194.0
0,1180,0.02062,-13745.0,-2394.0
0,1190,0.02071,-12078.0,-1151.0
0,1200,0.0208,-12991.0,-1927.0
0,1210,0.02089,-13958.0,-4473.0
0,1220,0.020980000000000002,-13134.0,-5695.0
0,1230,0.021070000000000002,-15060.0,-2769.0
0,1240,0.02116,-14201.0,-3386.0
0,1250,0.02125,-14311.0,-3805.0
0,1260,0.02134,-17389.0,-4351.0
0,1270,0.02143,-14183.0,-3955.0
0,1280,0.02152,-12766.0,-2348.0
0,1290,0.021610000000000004,-15014.0,-4680.0
0,1300,0.021700000000000004,-17218.0,-5831.0
0,1310,0.021790000000000004,-15913.0,-2747.0
0,1320,0.021880000000000004,-14789.0,-4713.0
0,1330,0.021970000000000003,-12214.0,-4167.0
0,1340,0.022060000000000003,-13318.0,-4199.0
0,1350,0.022150000000000003,-16605.0,-5075.0
0,1360,0.022240000000000003,-17552.0,-4757.0
0,1370,0.022330000000000003,-13067.0,-4758.0
0,1380,0.022420000000000002,-16622.0,-5289.0
0,1390,0.022510000000000002,-14400.0,-6390.0
0,1400,0.022600000000000002,-16572.0,-6612.0
0,1410,0.022690000000000002,-15258.0,-5988.0
0,1420,0.02278,-14198.0,-4948.0
0,1430,0.02287,-15457.0,-4747.0
0,1440,0.02296,-15815.0,-4824.0
0,1450,0.02305,-11338.0,-2481.0
0,1460,0.02314,-14934.0,-4302.0
0,1470,0.02323,-14571.0,-5437.0
0,1480,0.02332,-15754.0,-4765.0
0,1490,0.02341,-15196.0,-4502.0
0,1500,0.0235,-14051.0,-4919.0
0,1510,0.02359,-16529.0,-3876.0
0,1520,0.02368,-12002.0,-4095.0
0,1530,0.02377,-16698.0,-4686.0
0,1540,0.02386,-12164.0,-4506.0
0,1550,0.023950000000000003,-14394.0,-4900.0
0,1560,0.024040000000000002,-14881.0,-4560.0
0,1570,0.024130000000000002,-16688.0,-6171.0
0,1580,0.024220000000000002,-14274.0,-4726.0
0,1590,0.024310000000000002,-17820.0,-1647.0
0,1600,0.0244,-16759.0,-3984.0
0,1610,0.024490000000000005,-14755.0,-6666.0
0,1620,0.024580000000000005,-13202.0,-5354.0
0,1630,0.024670000000000004,-10328.0,-5043.0
0,1640,0.024760000000000004,-16481.0,-3307.0
0,1650,0.024850000000000004,-15365.0,-4610.0
0,1660,0.024940000000000004,-15793.0,-2081.0
0,1670,0.025030000000000004,-16719.0,-5170.0
0,1680,0.025120000000000003,-16639.0,-4063.0
0,1690,0.025210000000000003,-13218.0,-3903.0
0,1700,0.025300000000000003,-13958.0,-3143.0
0,1710,0.025390000000000003,-12830.0,-4536.0
0,1720,0.025480000000000003,-14473.0,-3441.0
0,1730,0.025570000000000002,-14041.0,-3459.0
0,1740,0.025660000000000002,-10710.0,-4777.0
0,1750,0.025750000000000002,-13752.0,-5885.0
0,1760,0.025840000000000002,-14490.0,-5533.0
0,1770,0.02593,-13911.0,-4802.0
0,1780,0.02602,-15252.0,-5270.0
0,1790,0.02611,-14531.0,-1616.0
0,1800,0.0262,-13854.0,-2836.0
0,1810,0.02629,-17705.0,-5067.0
0,1820,0.02638,-12442.0,-5115.0
0,1830,0.02647,-14789.0,-4442.0
0,1840,0.02656,-14065.0,-5285.0
0,1850,0.02665,-14805.0,-4423.0
0,1860,0.02674,-9676.0,-319.0
0,1870,0.02683,-8228.0,-1910.0
0,1880,0.02692,-12764.0,-4721.0
0,1890,0.02701,-16761.0,-4357.0
0,1900,0.0271,-11838.0,-1557.0
0,1910,0.027190000000000006,-11848.0,-3513.0
0,1920,0.027280000000000006,-14300.0,-3574.0
0,1930,0.027370000000000005,-10454.0,-2443.0
0,1940,0.027460000000000005,-13876.0,-1225.0
0,1950,0.027550000000000005,-15013.0,-3385.0
0,1960,0.027640000000000005,-14565.0,-4355.0
0,1970,0.027730000000000005,-16147.0,-4042.0
0,1980,0.027820000000000004,-14262.0,-4995.0
0,1990,0.027910000000000004,-14161.0,-5451.0
0,2000,0.028000000000000004,-14281.0,-1978.0
0,2010,0.028090000000000004,-14580.0,-3699.0
0,2020,0.028180000000000004,-8198.0,-5101.0
0,2030,0.028270000000000003,-12661.0,-4076.0
0,2040,0.028360000000000003,-18719.0,-5485.0
0,2050,0.028450000000000003,-16448.0,-3384.0
0,2060,0.028540000000000003,-12190.0,-4726.0
0,2070,0.028630000000000003,-15333.0,-4041.0
0,2080,0.028720000000000002,-16530.0,-5264.0
0,2090,0.028810000000000002,-15338.0,-2711.0
0,2100,0.028900000000000002,-14514.0,-1245.0
