chain,draw,score_cpxR,score_soxR
0,10000,-6169.0,-15730.0
0,0,-5312.0,-14857.0
0,1,-5312.0,-13756.0
0,2,-5091.0,-12582.0
0,3,-5091.0,-12582.0
0,4,-5091.0,-12582.0
0,5,-5091.0,-12582.0
0,6,-4973.0,-11359.0
0,7,-4996.0,-10136.0
0,8,-6374.0,-9771.0
0,9,-6374.0,-9771.0
0,10,-6161.0,-8597.0
0,20,-5946.0,-6215.0
0,30,-4668.0,-4305.0
0,40,-4174.0,-3204.0
0,50,-2873.0,-2030.0
0,60,-2644.0,-2089.0
0,70,-2644.0,-2030.0
0,80,-2619.0,-2030.0
0,90,-1125.0,-1714.0
0,100,-1125.0,-1714.0
0,110,-1125.0,-1714.0
0,120,-1125.0,-1714.0
0,130,-1139.0,-540.0
0,140,-949.0,-599.0
0,150,-949.0,-599.0
0,160,-949.0,-599.0
0,170,-949.0,-658.0
0,180,-949.0,-658.0
0,190,-949.0,-658.0
0,200,-949.0,565.0
0,210,-935.0,-609.0
0,220,-935.0,-609.0
0,230,-935.0,-609.0
0,240,-935.0,-550.0
0,250,-935.0,-550.0
0,260,-935.0,-609.0
0,270,-935.0,-609.0
0,280,-935.0,-609.0
0,290,-935.0,-550.0
0,300,-935.0,-609.0
0,310,-935.0,-609.0
0,320,-935.0,-550.0
0,330,-935.0,-550.0
0,340,-935.0,-550.0
0,350,-935.0,-550.0
0,360,-935.0,-550.0
0,370,-935.0,-550.0
0,380,-935.0,-550.0
0,390,-935.0,-550.0
0,400,-935.0,-550.0
0,410,-935.0,-491.0
0,420,-935.0,-550.0
0,430,-935.0,-550.0
0,440,-935.0,-550.0
0,450,-935.0,-550.0
0,460,-935.0,-609.0
0,470,-935.0,-609.0
0,480,-935.0,-609.0
0,490,-935.0,-609.0
0,500,-935.0,-550.0
0,510,-935.0,-609.0
0,520,-935.0,-609.0
0,530,-935.0,-609.0
0,540,-935.0,-609.0
0,550,-935.0,-609.0
0,560,-935.0,-609.0
0,570,-935.0,-609.0
0,580,-935.0,-609.0
0,590,-935.0,-609.0
0,600,-935.0,-550.0
0,610,-935.0,-550.0
0,620,-935.0,-550.0
0,630,-935.0,-550.0
0,640,-935.0,-609.0
0,650,-935.0,-609.0
0,660,-935.0,-550.0
0,670,-935.0,-550.0
0,680,-935.0,-550.0
0,690,-935.0,-550.0
0,700,-935.0,-550.0
0,710,-935.0,-550.0
0,720,-935.0,-550.0
0,730,-935.0,-550.0
0,740,-935.0,-550.0
0,750,-935.0,-550.0
0,760,-935.0,-550.0
0,770,-935.0,-550.0
0,780,-935.0,-491.0
0,790,-935.0,-491.0
0,800,-935.0,-491.0
0,810,-935.0,-550.0
0,820,-935.0,-550.0
0,830,-935.0,-550.0
0,840,-935.0,-609.0
0,850,-935.0,-550.0
0,860,-935.0,-550.0
0,870,-935.0,-550.0
0,880,-935.0,-550.0
0,890,-935.0,-550.0
0,900,-935.0,-550.0
0,910,-935.0,-550.0
0,920,-935.0,-550.0
0,930,-935.0,-550.0
0,940,-935.0,-550.0
0,950,-935.0,-550.0
0,960,-935.0,-550.0
0,970,-935.0,-550.0
0,980,-935.0,-550.0
0,990,-935.0,-550.0
0,1000,-935.0,-550.0
0,1010,-935.0,-550.0
0,1020,-935.0,-550.0
0,1030,-935.0,-550.0
0,1040,-935.0,-550.0
0,1050,-935.0,-550.0
0,1060,-935.0,-550.0
0,1070,-935.0,-609.0
0,1080,-935.0,-550.0
0,1090,-935.0,-550.0
0,1100,-935.0,-550.0
0,1110,-935.0,-609.0
0,1120,-935.0,-609.0
0,1130,-935.0,-609.0
0,1140,-935.0,-550.0
0,1150,-935.0,-550.0
0,1160,-935.0,-550.0
0,1170,-935.0,-550.0
0,1180,-935.0,-550.0
0,1190,-935.0,-550.0
0,1200,-935.0,-550.0
0,1210,-935.0,-550.0
0,1220,-935.0,-550.0
0,1230,-935.0,-491.0
0,1240,-935.0,-550.0
0,1250,-935.0,-609.0
0,1260,-935.0,-550.0
0,1270,-935.0,-550.0
0,1280,-935.0,-550.0
0,1290,-935.0,-550.0
0,1300,-935.0,-550.0
0,1310,-935.0,-550.0
0,1320,-935.0,-550.0
0,1330,-935.0,-550.0
0,1340,-935.0,-550.0
0,1350,-935.0,-550.0
0,1360,-935.0,-550.0
0,1370,-935.0,-550.0
0,1380,-935.0,-550.0
0,1390,-935.0,-550.0
0,1400,-935.0,-550.0
0,1410,-935.0,-550.0
0,1420,-935.0,-550.0
0,1430,-935.0,-550.0
0,1440,-935.0,-550.0
0,1450,-935.0,-550.0
0,1460,-935.0,-609.0
0,1470,-935.0,-550.0
0,1480,-935.0,-491.0
0,1490,-935.0,-491.0
0,1500,-935.0,-491.0
0,1510,-935.0,-550.0
0,1520,-935.0,-550.0
0,1530,-935.0,-550.0
0,1540,-935.0,-550.0
0,1550,-935.0,-550.0
0,1560,-935.0,-550.0
0,1570,-935.0,-550.0
0,1580,-935.0,-550.0
0,1590,-935.0,-550.0
0,1600,-935.0,-550.0
0,1610,-935.0,-550.0
0,1620,-935.0,-550.0
0,1630,-935.0,-609.0
0,1640,-935.0,-550.0
0,1650,-935.0,-550.0
0,1660,-935.0,-550.0
0,1670,-935.0,-550.0
0,1680,-935.0,-550.0
0,1690,-935.0,-491.0
0,1700,-935.0,-550.0
0,1710,-935.0,-550.0
0,1720,-935.0,-550.0
0,1730,-935.0,-550.0
0,1740,-935.0,-550.0
0,1750,-935.0,-550.0
0,1760,-935.0,-550.0
0,1770,-935.0,-550.0
0,1780,-935.0,-609.0
0,1790,-935.0,-550.0
0,1800,-935.0,-550.0
0,1810,-935.0,-550.0
0,1820,-935.0,-550.0
0,1830,-935.0,-550.0
0,1840,-935.0,-550.0
0,1850,-935.0,-550.0
0,1860,-935.0,-550.0
0,1870,-935.0,-550.0
0,1880,-935.0,-609.0
0,1890,-935.0,-609.0
0,1900,-935.0,-609.0
0,1910,-935.0,-609.0
0,1920,-935.0,-609.0
0,1930,-935.0,-609.0
0,1940,-935.0,-609.0
0,1950,-935.0,-609.0
0,1960,-935.0,-609.0
0,1970,-935.0,-609.0
0,1980,-935.0,-609.0
0,1990,-935.0,-609.0
0,2000,-935.0,-609.0
0,2010,-935.0,-609.0
0,2020,-935.0,-550.0
0,2030,-935.0,-550.0
0,2040,-935.0,-550.0
0,2050,-935.0,-550.0
0,2060,-935.0,-550.0
0,2070,-935.0,-550.0
0,2080,-935.0,-550.0
0,2090,-935.0,-609.0
0,2100,-935.0,-550.0
0,2110,-935.0,-491.0
0,2120,-935.0,-491.0
0,2130,-935.0,-491.0
0,2140,-935.0,-550.0
0,2150,-935.0,-550.0
0,2160,-935.0,-550.0
0,2170,-935.0,-550.0
0,2180,-935.0,-550.0
0,2190,-935.0,-550.0
0,2200,-935.0,-550.0
0,2210,-935.0,-609.0
0,2220,-935.0,-609.0
0,2230,-935.0,-609.0
0,2240,-935.0,-609.0
0,2250,-935.0,-609.0
0,2260,-935.0,-609.0
0,2270,-935.0,-550.0
0,2280,-935.0,-609.0
0,2290,-935.0,-609.0
0,2300,-935.0,-609.0
0,2310,-935.0,-550.0
0,2320,-935.0,-550.0
0,2330,-935.0,-550.0
0,2340,-935.0,-491.0
0,2350,-935.0,-550.0
0,2360,-935.0,-550.0
0,2370,-935.0,-550.0
0,2380,-935.0,-550.0
0,2390,-935.0,-550.0
0,2400,-935.0,-550.0
0,2410,-935.0,-491.0
0,2420,-935.0,-491.0
0,2430,-935.0,-491.0
0,2440,-935.0,-491.0
0,2450,-935.0,-491.0
0,2460,-935.0,-491.0
0,2470,-935.0,-491.0
0,2480,-935.0,-550.0
0,2490,-935.0,-550.0
0,2500,-935.0,-550.0
0,2510,-935.0,-609.0
0,2520,-935.0,-609.0
0,2530,-935.0,-609.0
0,2540,-935.0,-609.0
0,2550,-935.0,-491.0
0,2560,-935.0,-550.0
0,2570,-935.0,-550.0
0,2580,-935.0,-550.0
0,2590,-935.0,-550.0
0,2600,-935.0,-609.0
0,2610,-935.0,-609.0
0,2620,-838.0,-609.0
0,2630,-838.0,-550.0
0,2640,-838.0,-550.0
0,2650,-560.0,-550.0
0,2660,-560.0,-550.0
0,2670,-560.0,-491.0
0,2680,-560.0,-550.0
0,2690,-560.0,-550.0
0,2700,-560.0,-550.0
0,2710,-560.0,-550.0
0,2720,-560.0,-550.0
0,2730,-560.0,-550.0
0,2740,-560.0,-550.0
0,2750,-560.0,-550.0
0,2760,-560.0,-550.0
0,2770,-560.0,-550.0
0,2780,-560.0,-550.0
0,2790,-560.0,-550.0
0,2800,-560.0,-550.0
0,2810,-560.0,-550.0
0,2820,-560.0,-550.0
0,2830,-560.0,-550.0
0,2840,-560.0,-550.0
0,2850,-560.0,-550.0
0,2860,-560.0,-550.0
0,2870,-560.0,-491.0
0,2880,-560.0,-491.0
0,2890,-560.0,-491.0
0,2900,-560.0,-550.0
0,2910,-560.0,-550.0
0,2920,-560.0,-550.0
0,2930,-560.0,-550.0
0,2940,-560.0,-550.0
0,2950,-560.0,-550.0
0,2960,-560.0,-550.0
0,2970,-560.0,-550.0
0,2980,-560.0,-550.0
0,2990,-560.0,-550.0
0,3000,-560.0,-550.0
0,3010,-560.0,-550.0
0,3020,-560.0,-550.0
0,3030,-560.0,-550.0
0,3040,-560.0,-550.0
0,3050,-560.0,-550.0
0,3060,-560.0,-550.0
0,3070,-560.0,-550.0
0,3080,-560.0,-550.0
0,3090,-560.0,-550.0
0,3100,-560.0,-550.0
0,3110,-560.0,-550.0
0,3120,-560.0,-550.0
0,3130,-560.0,-550.0
0,3140,-560.0,-550.0
0,3150,-560.0,-550.0
0,3160,-560.0,-550.0
0,3170,-560.0,-550.0
0,3180,-560.0,-550.0
0,3190,-560.0,-550.0
0,3200,-560.0,-550.0
0,3210,-560.0,-550.0
0,3220,-560.0,-550.0
0,3230,-560.0,-550.0
0,3240,-560.0,-550.0
0,3250,-560.0,-550.0
0,3260,-560.0,-550.0
0,3270,-560.0,-550.0
0,3280,-560.0,-550.0
0,3290,-560.0,-550.0
0,3300,-560.0,-550.0
0,3310,-560.0,-550.0
0,3320,-560.0,-550.0
0,3330,-560.0,-550.0
0,3340,-560.0,-550.0
0,3350,-560.0,-550.0
0,3360,-560.0,-550.0
0,3370,-560.0,-491.0
0,3380,-560.0,-491.0
0,3390,-560.0,-491.0
0,3400,-560.0,-491.0
0,3410,-560.0,-491.0
0,3420,-560.0,-550.0
0,3430,-560.0,-550.0
0,3440,-560.0,-550.0
0,3450,-560.0,-550.0
0,3460,-560.0,-550.0
0,3470,-560.0,-550.0
0,3480,-560.0,-550.0
0,3490,-560.0,-550.0
0,3500,-560.0,-550.0
0,3510,-560.0,-550.0
0,3520,-560.0,-550.0
0,3530,-560.0,-550.0
0,3540,-560.0,-550.0
0,3550,-560.0,-491.0
0,3560,-560.0,-491.0
0,3570,-560.0,-491.0
0,3580,-560.0,-491.0
0,3590,-560.0,-491.0
0,3600,-560.0,-491.0
0,3610,-560.0,-491.0
0,3620,-560.0,-491.0
0,3630,-560.0,-550.0
0,3640,-560.0,-550.0
0,3650,-560.0,-550.0
0,3660,-560.0,-550.0
0,3670,-560.0,-550.0
0,3680,-560.0,-550.0
0,3690,-560.0,-550.0
0,3700,-560.0,-550.0
0,3710,-560.0,-550.0
0,3720,-560.0,-550.0
0,3730,-560.0,-550.0
0,3740,-560.0,-550.0
0,3750,-560.0,-550.0
0,3760,-560.0,-550.0
0,3770,-560.0,-550.0
0,3780,-560.0,-550.0
0,3790,-560.0,-550.0
0,3800,-560.0,-550.0
0,3810,-560.0,-550.0
0,3820,-560.0,-550.0
0,3830,-560.0,-550.0
0,3840,-560.0,-550.0
0,3850,-560.0,-550.0
0,3860,-560.0,-550.0
0,3870,-560.0,-550.0
0,3880,-560.0,-550.0
0,3890,-560.0,-491.0
0,3900,-560.0,-491.0
0,3910,-560.0,-491.0
0,3920,-560.0,-550.0
0,3930,-560.0,-550.0
0,3940,-560.0,-550.0
0,3950,-560.0,-491.0
0,3960,-560.0,-550.0
